RowID,motion,ind.production,biomass.prod.N,biomass.prod.P,biomass.prod.C,res.inflow,N.types,P.types,C.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,barriers,logseries.a,starting.seed,flow.rate,width,height,viscosity,total.abundance,immigration.rate,resource.tau,particle.tau,individual.tau,resource.concentration,shannons.resource.diversity,resource.richness,species.richness,simpson.e,e.var,berger.parker,inv.simp.D,N.max,skew,tracer.particles,resource.particles,speciation,Whittakers.turnover,Jaccards.dissimilarity,Sorensens.dissimilarity,avg.per.capita.growth,avg.per.capita.maint,avg.per.capita.N.efficiency,avg.per.capita.P.efficiency,avg.per.capita.C.efficiency,avg.per.capita.active.dispersal,amplitude,flux,frequency,phase,disturbance
356,'random_walk',0.13,-0.022519620990514511,-0.036178434403549363,-0.026402644213610101,400,7,10,1,1600,0.8084004477079861,0.009615710212257936,0.05983628298716972,0,0.9908348972803477,100,0.80000000000000004,40,10,10,6,0.1,0.27123839842637065,9.0130495081829558,7.2578481590104946,0.11349999999999999,1.9136776500000001,11.220000000000001,1.9795918367346939,0.87381666666666657,0.86967143984531958,0.73662701847444489,0.33739838276989453,4.5,0.086614435251715041,10,4,0.075,0.047719298245614022,0.068421052631578952,0.047719298245614043,0.53795236037158434,0.0032546909098702254,0.45543618673998232,0.52129466802322044,0.50448922898949244,0.022086999949548575,0.1,'yes',0.08,2,0.005
357,'fluid',24.120000000000001,2.6481573444458451,2.8017594691407397,2.4387833441649596,500,1,4,7,3200,0.7723013837716782,0.006752305521592742,0.3853441724566946,1,0.9938841176742061,100,0.20000000000000001,160,20,10,4517,0.5,120.75529396783237,163.35123809523805,198.98784602024284,2.8559625000000004,2.2260787599999996,12.0,4.5899999999999999,0.25784400000000002,0.094590217587035438,0.98106908208862631,0.00719174886298475,3068.8600000000001,1.2802315827604906,63,9270,0.001,0.027804967198906586,0.046657046657046661,0.027804967198906596,0.71222238637142754,0.0021415295059319184,0.46663660564072451,0.5755080296977898,0.45174849147422613,0.23169111740820436,0.05,'yes',0.08,0,0.01
361,'fluid',0.51000000000000001,0.050661884185329277,0.030681038074822684,0.0535400430896898,500,8,10,7,100,0.32230088278236846,0.0032875311403117815,0.331108447880314,1,0.9943419182098646,100,0.5,20,5,10,0,0.005,17.213924972831627,18.700974076499385,55.338162927913508,21.646699999999999,3.2019497299999999,25.0,1.8421052631578947,0.74055222222222217,0.63754203311098434,0.90003552855691948,0.20326609700888854,17.055555555555557,0.096814901575651258,11,2150,0.05,0.0082397003745318335,0.013108614232209739,0.0082397003745318352,0.16512975096419361,0.001176116437295528,0.52112334501684598,0.5585782100239044,0.51089655803914946,0.24643176028854938,0.3,'yes',0.06,8,0.001
365,'random_walk',-0.01,-0.042048473762194068,-0.043387012641178127,-0.03320298459974208,400,6,9,5,3200,0.5485117691821423,0.007573650390475101,0.33427415100388036,1,0.997620552224773,100,0.10000000000000001,40,40,10,8,0.5,26.497564004230195,nan,27.049085112942294,0.45368124999999998,2.9461827699999996,20.0,2.1052631578947367,0.88624333333333349,0.89766270908856005,0.68055009938652866,0.38645082208581533,4.333333333333333,0.12399566509160168,21,1116,0.05,0.032423756019261632,0.0449438202247191,0.032423756019261639,0.29523673394985139,0.0035119845848660325,0.54475989798691382,0.49885863972298083,0.60369702402706349,0.10100565442238157,0.4,'yes',0.01,9,1e-05
366,'fluid',40.640000000000001,3.1931342631593065,2.9041926848811936,3.1556162997895765,400,4,10,5,3200,0.32279183120513494,0.003259284804421266,0.6719188296106131,0,0.9924881628255117,100,0.5,10,20,10,3214,0.001,7.3843659651367695,9.4007088045799598,135.26275625732796,3.0175500000000004,2.8440651100000007,19.0,5.1500000000000004,0.511324,0.28855770274144416,0.53839315795615506,0.61542954495658053,1852.03,0.92196246983130603,5,662,0.001,0.00091827364554637205,0.0016835016835016832,0.00091827364554637313,0.2618436249047274,0.00089180465700343641,0.47035907107239366,0.52448087679775979,0.52867408121847537,0.54479207023316245,0.2,'yes',0.04,7,0.01
371,'random_walk',-0.02,-0.0022201370822095916,-0.00031754644695679941,-0.00014841879544499857,400,7,10,8,6400,0.6506919553543405,0.0038708150352086625,0.40831660275593246,4,0.9911344771293654,100,0.0074999999999999997,20,20,10,0,0.5,41.0,nan,38.590761904761905,0.60985000000000011,3.1616456800000003,25.0,0.11320754716981132,1.0,1.0,0.83333333333333337,0.0,2.0,0.0,0,324,0.0075,0.0,0.0,0.0,0.12825568978510152,0.0010268689057396851,0.63414024290864202,0.40837329012586115,0.38979154671150334,0.38656660323434183,0.2,'yes',0.01,16,5e-05
372,'fluid',8.1799999999999997,0.92085883574501171,1.0825596856675623,1.1571385209011578,200,2,6,8,12000,0.315062668753483,0.0070942065239725785,0.6246987169141287,4,0.9959701143128961,100,0.5,10,5,10,408,0.1,8.8723565568877092,10.43432485286344,63.64900180135318,7.7046000000000001,2.5832865700000003,16.0,2.0299999999999998,0.66960300000000006,0.52495542438568199,0.95848915329967244,0.039182273844729665,221.27000000000001,0.27038381731492256,1,558,0.01,0.014911014911014908,0.022727272727272728,0.014911014911014911,0.19427823658695928,0.0022034495048441991,0.41678973328933439,0.59078787885167761,0.61928428442786898,0.5970040540289987,0.5,'yes',0.01,8,0.005
374,'random_walk',0.34000000000000002,-0.16049473161688799,-0.15674666070575569,-0.16652696813913631,500,8,2,1,3200,0.19119875645961254,0.0072295271636688835,0.106512680372632,0,0.9930055888679984,100,1.0,40,20,10,22,0.5,0.25327438021716459,19.257652479753943,12.882406650728937,0.088875000000000023,1.7457220999999998,8.6199999999999992,8.3499999999999996,0.73214699999999988,0.75037780956319455,0.38359421482809858,0.7696319264931607,6.2599999999999998,0.55018740045479353,20,8,0.01,0.047197896989295968,0.077884769551436236,0.047197896989295975,0.097481159363432143,0.0038881899863878193,0.51199974402399429,0.55374693070260528,0.62286801934036251,0.047243730186493055,0.1,'yes',0.04,13,0.0001
376,'random_walk',0.01,-0.011208625417560784,-0.012731109691868097,-0.012319747189009913,300,2,9,9,100,0.6765995176214533,0.006793301896639017,0.45588706916160493,2,0.994828862560327,100,0.69999999999999996,40,40,10,2,0.01,1.3978963853872353,66.975014488554052,36.349862834252811,0.081750000000000003,2.57471513,17.649999999999999,1.2648648648648648,0.93001647058823533,0.93170842124052311,0.89735747912218511,0.14340912556124796,5.8705882352941172,0.0,73,5,0.001,0.01984126984126984,0.023809523809523808,0.019841269841269844,0.48649768925298065,0.0021006773227143188,0.70880513308815285,0.31487819890758617,0.43481987701324237,0.39089897324660733,0.4,'yes',0.08,11,0.05
377,'fluid',-1.23,-0.16436247935052847,-0.041372240861648063,-0.10580221127911869,500,1,3,9,1600,0.7947238670598562,0.008825036981001608,0.9899271560020996,3,0.9926552027451971,100,0.074999999999999997,40,20,10,646,0.01,84.216839830271454,130.15483333333336,167.82212884052163,2.6290750000000003,2.2085353199999997,13.0,1.0,1.0,1.0,0.99190648464423381,0.0,946.47000000000003,0.0,10,2280,0.005,0.0,0.0,0.0,0.53112386820604518,0.0038301196611647674,0.53387514363703914,0.50016736273192453,0.48110538445149253,0.26198051715978377,0.1,'yes',0.1,0,0.0001
